campID	commID	donorID
5233	12165	100001
6169	16089	100001
7006	19905	100001
7075	20077	100001
7213	20414	100001
7244	20511	100001
7345	20686	100001
5233	12164	100002
6169	16088	100002
7006	19904	100002
7075	20076	100002
7213	20413	100002
7244	20510	100002
7345	20685	100002
7345	20685	100003
5233	12165	100004
6169	16089	100004
7213	20414	100004
5233	12164	100005
7345	20685	100006
5233	12165	100007
5233	12165	100008
6169	16089	100008
7006	19905	100008
7075	20077	100008
7213	20414	100008
7244	20511	100008
7345	20686	100008
5233	12165	100009
6169	16089	100009
7006	19905	100009
7075	20077	100009
7213	20414	100009
7244	20511	100009
7345	20686	100009
5233	12164	100010
6169	16088	100010
7006	19904	100010
7075	20076	100010
7213	20413	100010
7244	20510	100010
7345	20685	100010
5233	12164	100011
6169	16088	100011
7006	19904	100011
7075	20076	100011
7213	20413	100011
7244	20510	100011
7345	20685	100011
5233	12164	100012
6169	16088	100012
7006	19904	100012
7075	20076	100012
7244	20510	100012
7345	20685	100012
6169	16088	100013
6169	16088	100014
7345	20685	100015
6169	16089	100016
6169	16089	100017
5233	12164	100018
6169	16088	100018
7006	19904	100018
7075	20076	100018
7244	20510	100018
7345	20685	100018
5233	12164	100019
6169	16088	100019
7006	19904	100019
7075	20076	100019
7213	20413	100019
7244	20510	100019
7345	20685	100019
7345	20686	100020
5233	12165	100021
6169	16089	100021
7006	19905	100021
7075	20077	100021
7213	20414	100021
7244	20511	100021
7345	20686	100021
5233	12164	100022
6169	16088	100022
7006	19904	100022
7075	20076	100022
7213	20413	100022
7244	20510	100022
7345	20685	100022
5233	12164	100023
6169	16088	100023
6169	16089	100024
6169	16089	100025
5233	12165	100026
6169	16089	100026
7006	19905	100026
7075	20077	100026
7213	20414	100026
7244	20511	100026
7345	20686	100026
7006	19904	100027
5233	12164	100028
6169	16088	100028
7006	19904	100028
7075	20076	100028
5233	12164	100029
6169	16088	100029
7006	19904	100029
7075	20076	100029
7213	20413	100029
7244	20510	100029
7345	20685	100029
7345	20685	100030
5233	12164	100031
6169	16088	100031
7006	19904	100031
7075	20076	100031
7244	20510	100031
7345	20685	100031
6169	16089	100032
7075	20077	100032
7213	20414	100032
5233	12164	100033
5233	12164	100034
6169	16088	100034
7006	19904	100034
7075	20076	100034
7213	20413	100034
7244	20510	100034
7345	20685	100034
6169	16088	100035
7075	20077	100035
7213	20414	100035
5233	12164	100036
6169	16088	100036
7006	19904	100036
7075	20076	100036
7213	20413	100036
7244	20510	100036
7345	20685	100036
5233	12164	100037
6169	16088	100037
7006	19904	100037
7075	20076	100037
7244	20510	100037
7345	20685	100037
5233	12164	100038
6169	16088	100039
6169	16089	100040
7075	20077	100040
7213	20414	100040
5233	12165	100041
6169	16089	100041
7213	20414	100041
5233	12164	100042
6169	16088	100042
7213	20413	100042
6169	16089	100043
7075	20077	100043
7345	20685	100044
5233	12164	100045
6169	16088	100045
7006	19904	100045
7075	20076	100045
7244	20510	100045
7345	20685	100045
5233	12164	100046
6169	16088	100046
7006	19904	100046
7075	20076	100046
7213	20413	100046
7244	20510	100046
7345	20685	100046
5233	12165	100047
5233	12164	100048
6169	16088	100048
7006	19904	100048
7075	20076	100048
7213	20413	100048
7244	20510	100048
5233	12164	100049
7345	20685	100050
5233	12164	100051
6169	16088	100051
7006	19904	100051
7075	20076	100051
5233	12164	100052
6169	16088	100052
7006	19904	100052
7075	20076	100052
7244	20510	100052
7345	20685	100052
6169	16089	100053
7075	20077	100053
5233	12165	100054
5233	12164	100055
6169	16088	100055
7006	19904	100055
7075	20076	100055
7213	20413	100055
7244	20510	100055
7345	20685	100055
5233	12164	100056
6169	16088	100056
7006	19904	100056
7075	20076	100056
7213	20413	100056
7244	20510	100056
7345	20685	100056
7345	20685	100057
5233	12165	100058
6169	16089	100058
7006	19905	100058
7075	20077	100058
7213	20414	100058
7244	20511	100058
7345	20689	100058
7345	20686	100059
5233	12164	100060
6169	16088	100060
7006	19904	100060
7075	20076	100060
7213	20413	100060
7244	20510	100060
7345	20685	100060
5233	12164	100061
6169	16088	100061
7006	19904	100061
7075	20076	100061
7213	20413	100061
7244	20510	100061
7345	20685	100061
6169	16089	100062
5233	12164	100063
6169	16088	100063
7006	19904	100063
7075	20076	100063
7213	20413	100063
7345	20685	100063
5233	12164	100064
6169	16088	100064
7006	19904	100064
7075	20076	100064
7244	20510	100064
7345	20685	100064
5233	12164	100065
6169	16088	100065
7006	19904	100065
5233	12164	100066
6169	16088	100066
7006	19904	100066
7075	20076	100066
7213	20413	100066
7244	20510	100066
7345	20685	100066
7075	20077	100067
7213	20414	100067
7244	20511	100067
7345	20689	100067
5233	12164	100068
6169	16088	100068
7006	19904	100068
7075	20076	100068
7213	20413	100068
7345	20685	100068
5233	12164	100069
7006	19904	100069
7075	20076	100069
7213	20413	100069
7244	20510	100069
7345	20685	100069
5233	12164	100070
6169	16088	100070
7006	19904	100070
7075	20076	100070
5233	12164	100071
7345	20685	100072
5233	12164	100073
6169	16088	100073
7006	19904	100073
7075	20076	100073
7213	20413	100073
7244	20510	100073
7345	20685	100073
5233	12164	100074
6169	16088	100074
7006	19904	100074
7075	20076	100074
7213	20413	100074
7345	20685	100074
5233	12164	100075
6169	16088	100075
7006	19904	100075
7075	20076	100075
7213	20413	100075
7244	20510	100075
7345	20685	100075
5233	12164	100076
6169	16088	100076
7006	19904	100076
7075	20076	100076
7213	20413	100076
7244	20510	100076
7345	20685	100076
5233	12164	100077
6169	16088	100077
7006	19904	100077
7075	20076	100077
7213	20413	100077
7244	20510	100077
7345	20685	100077
7345	20685	100078
5233	12165	100079
6169	16089	100079
7006	19905	100079
7075	20077	100079
6169	16089	100081
7075	20077	100081
7213	20414	100081
5233	12165	100082
6169	16089	100082
7006	19905	100082
7075	20077	100082
7213	20414	100082
7244	20511	100082
7345	20686	100082
5233	12164	100083
6169	16088	100083
